Time to generate a test,Time to run a test
0.508,29.871000000000002
0.555,30.163
5.944999999999999,38.966
4.38,1778.328
1.013,77.492
0.27799999999999997,121.08800000000001
0.433,280.916
0.368,52.292
0.426,368.45099999999996
0.815,31.494
4.38,34.943000000000005
0.415,89.551
5.212,73.78
0.323,35.702
0.6769999999999999,29.387
0.261,33.014
0.464,31.048
0.47600000000000003,29.768
0.36000000000000004,32.916000000000004
0.256,32.476
1.035,32.077
0.25,29.673000000000002
0.833,28.962999999999997
6.004,40.664
1.066,1899.494
0.34900000000000003,52.0
2.238,82.854
2.491,35.908
7.630999999999999,38.857
0.27099999999999996,42.979000000000006
0.381,31.64
0.305,31.137
3.78,34.608
0.39599999999999996,36.398
20.853,53.644
0.32899999999999996,30.04
6.2700000000000005,38.938
5.329000000000001,37.74
5.01,36.036
0.40499999999999997,31.213
25.748,60.827
7.585,39.942
0.853,1584.222
5.084,34.989
0.609,55.183
5.727,311.574
0.348,30.899
0.33799999999999997,31.985
2.5660000000000003,31.591
4.399,34.264
5.436,425.394
6.2490000000000006,275.344
22.445,54.400999999999996
16.151,80.76
0.621,40.914
4.867,37.37
4.98,39.214
0.41,33.414
0.39599999999999996,32.29
3.133,34.48
0.29,33.595
4.625,39.906
3.094,34.506
0.745,1931.999
24.221,87.174
7.484,204.798
0.28400000000000003,432.76
13.312,85.1
3.483,39.342
3.0149999999999997,34.373
5.188,35.69
0.339,29.498
0.373,34.173
0.28800000000000003,29.623
25.404,54.139
0.321,36.988
0.265,33.823
39.693,70.715
0.433,30.352
2.955,31.244
0.37,30.186
5.684,38.102999999999994
0.46599999999999997,31.962999999999997
26.790000000000003,58.456
0.36900000000000005,31.437
2.463,32.648
0.382,30.541999999999998
0.257,1601.8159999999998
0.508,54.629
5.229,41.111000000000004
40.422,72.66499999999999
0.259,29.801000000000002
0.594,29.862
3.105,32.919999999999995
4.26,35.69
0.371,31.619
4.273,36.477999999999994
5.353,37.417
0.488,29.904
5.236,37.519999999999996
39.674,78.023
0.759,33.419
0.617,31.406000000000002
5.23,37.811
2.941,31.244
3.064,30.731
0.382,30.443
1.212,31.314
5.587,35.143
0.30200000000000005,31.352999999999998
2.851,35.674
5.037,35.348
0.39399999999999996,29.596
1.952,33.472
5.3790000000000004,37.718
0.49200000000000005,32.050000000000004
0.666,31.467000000000002
3.928,37.211
39.217,70.382
0.253,29.557
0.404,33.923
3.347,34.746
5.403,36.147999999999996
0.26699999999999996,32.257
0.453,35.483000000000004
0.301,32.564
0.746,30.142
2.105,32.854
0.883,1550.3039999999999
3.8960000000000004,46.389
4.523,315.40000000000003
0.47800000000000004,117.888
5.151,68.728
0.3,46.905
0.326,32.556000000000004
5.406000000000001,44.307
6.044,289.554
21.858,63.667
27.756,59.238
5.41,37.229
0.308,30.493
9.624,59.18000000000001
0.365,33.294
7.593,37.023
2.713,31.585
0.294,34.995
0.27599999999999997,32.175000000000004
0.433,30.966
21.378999999999998,53.471
0.40900000000000003,32.294000000000004
0.384,32.830999999999996
0.391,28.927999999999997
0.26699999999999996,35.742999999999995
0.438,29.052000000000003
2.533,30.838
5.568,1816.857
22.573,136.11
0.47,181.37
42.886,176.959
0.261,61.24
0.39,30.374000000000002
9.224,266.84999999999997
41.853,78.79700000000001
0.28200000000000003,95.82300000000001
7.155,44.727999999999994
7.837999999999999,53.476000000000006
0.322,54.896
0.306,39.878
8.319,38.147
0.306,30.578999999999997
0.371,31.415
2.794,34.47
5.418,36.823
0.356,32.326
40.592000000000006,72.01599999999999
5.161,36.192
0.386,30.769000000000002
0.245,33.054
22.168,52.912
0.389,31.566999999999997
0.275,34.95
21.022,51.401
0.933,30.778
0.384,28.945999999999998
3.403,31.627000000000002
0.28400000000000003,31.195
0.434,30.825000000000003
2.04,34.143
2.615,31.971
0.281,30.401
0.907,30.32
5.732,37.161
0.40099999999999997,31.749
