Time to generate a test,Time to run a test
1.7149999999999999,44.53
3.9839999999999995,65.911
0.739,45.934000000000005
7.7,54.868
43.815,92.763
6.3020000000000005,44.900000000000006
10.119,51.951
0.357,40.07899999999999
0.483,45.775999999999996
0.603,42.539
1.1260000000000001,38.099000000000004
0.43,40.544999999999995
1.8090000000000002,38.955999999999996
1.333,38.714999999999996
1.711,81.211
1.7730000000000001,37.477000000000004
0.795,42.713
0.494,58.489
3.792,47.813
0.46799999999999997,43.395
0.456,43.229
0.432,41.522999999999996
1.059,42.751
3.881,85.123
32.398,72.708
1.0610000000000002,38.538000000000004
0.294,40.029
0.5670000000000001,45.263999999999996
1.684,41.867000000000004
0.869,38.464999999999996
0.3,41.957
0.462,38.43
0.373,37.662
0.416,39.216
0.352,39.211000000000006
4.479,71.81700000000001
5.719,1994.897
7.920999999999999,98.537
5.513,50.251999999999995
0.29300000000000004,40.391000000000005
0.472,41.938
0.386,41.135
27.248,68.8
12.517,52.241
0.332,42.909000000000006
0.389,39.743
15.046999999999999,53.045
10.55,47.961999999999996
9.404,53.961
0.365,46.035
7.257000000000001,47.93
2.145,43.692
1.309,42.065
0.365,41.504
4.62,72.654
10.33,50.12
14.68,55.518
0.758,41.7
0.383,43.55
7.13,47.693
0.533,39.134
0.5599999999999999,38.274
0.384,38.131
0.323,39.878
0.823,35.881
0.9179999999999999,39.998
0.41100000000000003,36.638
0.594,38.723
0.519,39.203
52.016,92.273
2.761,42.755
3.585,41.479
0.828,45.900999999999996
0.359,40.135
0.8809999999999999,52.248000000000005
0.897,40.128
0.28800000000000003,41.673
0.5810000000000001,41.756
0.34299999999999997,38.375
1.592,45.72
21.98,90.741
0.29,44.637
0.435,45.315
0.964,47.771
9.964,52.072
2.617,42.691
0.34299999999999997,42.507999999999996
4.926,49.293
0.5730000000000001,41.565
0.593,45.597
0.8260000000000001,40.458
0.377,41.851
2.433,40.701
0.391,48.299
8.721,49.480000000000004
46.641000000000005,86.383
2.37,46.75
3.139,42.147999999999996
6.196,45.434000000000005
47.243,98.967
25.579,68.67399999999999
0.321,40.141000000000005
25.029,65.57499999999999
0.888,40.029
45.772,2105.549
6.579,47.771
0.363,39.04
0.455,44.332
0.30200000000000005,43.338
6.1370000000000005,47.690999999999995
0.313,247.944
0.40499999999999997,194.024
25.791,1733.3590000000002
9.215,96.72200000000001
45.328,91.91000000000001
0.384,42.275
2.326,44.926
2.641,46.855000000000004
0.455,39.038999999999994
0.328,40.271
2.2390000000000003,42.289
4.9719999999999995,46.638
3.262,42.704
0.834,40.489999999999995
3.545,45.143
11.878,80.54400000000001
0.40700000000000003,43.748000000000005
3.0149999999999997,44.138
6.49,48.813
0.594,37.982
0.7929999999999999,40.705
3.502,63.395999999999994
2.4250000000000003,42.04900000000001
8.984,48.076
24.002,61.85
0.504,39.879999999999995
0.40299999999999997,46.749
24.635,65.188
2.9949999999999997,40.599999999999994
45.733999999999995,83.941
6.117,44.241
0.483,37.85
0.474,46.489000000000004
24.569,88.684
6.132000000000001,45.787
0.858,40.051
4.345,42.806
9.922,50.289
0.337,38.933
0.514,42.547000000000004
0.589,41.396
0.399,37.282999999999994
2.467,41.662
5.667,45.174
2.216,40.675000000000004
28.759,70.345
0.434,77.336
3.5959999999999996,41.305
33.022000000000006,84.508
0.33,39.293
0.512,39.510999999999996
68.84700000000001,116.66600000000001
0.277,42.275
0.447,43.579
0.337,42.975
7.159000000000001,48.174
6.108,44.681
0.371,41.178
1.616,49.063
0.46,46.642
0.383,44.708999999999996
0.49200000000000005,38.652
0.945,39.849999999999994
0.347,40.987
1.1820000000000002,39.294000000000004
4.694,44.325
0.32899999999999996,46.535
1.7429999999999999,64.563
0.5109999999999999,40.543
0.634,39.436
0.321,85.203
14.312999999999999,62.902
0.524,43.157000000000004
0.683,42.081
0.32699999999999996,43.598
1.1440000000000001,42.605999999999995
0.33799999999999997,41.013
2.177,1615.6699999999998
0.69,42.5
7.717,125.25900000000001
0.449,150.229
2.341,46.65
0.289,38.569
0.852,82.32499999999999
7.627,74.157
2.646,104.69000000000001
0.308,286.779
0.8,63.382999999999996
3.406,79.278
0.36200000000000004,40.467999999999996
0.519,41.681000000000004
1.643,41.705
4.901,50.48
8.928,1987.801
0.49299999999999994,538.361
1.9719999999999998,55.223
0.321,38.662
0.421,38.846
4.868,43.661
0.313,39.415
0.911,39.33
0.339,37.033
0.49799999999999994,2061.448
0.356,39.455
7.521,55.659
0.584,39.404
0.48899999999999993,40.189
0.358,37.474000000000004
7.538,47.436
4.715999999999999,45.321
9.806000000000001,53.604
0.67,48.604
0.527,42.855
0.8450000000000001,39.817
0.35,39.003
3.9050000000000002,42.742000000000004
3.285,83.28
26.796,67.97
0.47600000000000003,41.445
6.851999999999999,46.903
0.506,41.042
33.684,94.443
5.682,45.477999999999994
0.555,47.004
0.325,38.961000000000006
32.34,70.081
0.296,36.418
0.559,41.168000000000006
2.0170000000000003,94.393
50.738,88.781
0.383,46.701
0.35100000000000003,39.607000000000006
52.1,92.209
0.876,39.139
0.36900000000000005,43.553000000000004
6.796,48.335
6.63,45.13699999999999
0.4,45.951
4.063,1931.906
0.356,39.932
1.052,71.44399999999999
0.33399999999999996,185.01500000000001
3.4250000000000003,279.99600000000004
51.208,88.643
0.46299999999999997,40.529999999999994
9.937,176.758
4.345,1664.3190000000002
0.38699999999999996,1990.567
0.9460000000000001,407.789
32.425000000000004,1066.735
0.575,212.315
0.402,265.171
0.524,99.357
0.31,904.124
28.431,665.6189999999999
8.446,62.927
3.5,42.156
2.198,40.444
0.33,49.255
6.726,45.386
9.547,52.006
7.281000000000001,49.734
0.449,40.446999999999996
0.431,39.907
0.342,41.201
27.235,74.225
0.342,40.188
9.892,49.541000000000004
0.873,50.614
0.335,39.088
0.425,44.598
0.554,39.372
0.324,42.195
3.478,41.509
0.712,42.756
3.424,40.945
0.373,41.729
1.05,1799.3410000000001
4.252,48.411
2.511,155.618
0.453,41.445
35.735,78.519
3.594,173.33
6.356,128.194
0.516,181.591
0.495,79.971
19.095000000000002,97.071
3.432,43.664
28.191000000000003,71.30300000000001
51.676,2094.86
1.234,48.915
0.325,38.392999999999994
0.507,40.544
0.496,43.637
0.303,38.244
0.502,39.906
3.9430000000000005,42.514
31.940000000000005,70.324
0.856,39.076
0.554,38.987
0.38,44.693999999999996
6.3759999999999994,48.359
0.969,1541.196
5.764,370.15700000000004
7.590999999999999,53.407000000000004
3.967,46.639
32.477,79.842
9.734,543.071
0.317,222.592
32.553,94.701
0.627,44.325
0.388,37.93
0.378,36.63
0.962,40.405
0.44,45.475
1.673,40.427
5.168,46.469
1.2979999999999998,40.082
0.503,36.6
0.30200000000000005,37.016
0.508,37.583
0.292,44.784
0.602,41.095
0.315,35.449
0.843,37.315
2.154,40.549
0.9309999999999999,38.031
0.366,1529.266
1.848,452.498
0.433,38.835
0.737,37.797
0.8490000000000001,39.929
0.439,38.577
5.073,119.25
7.666,184.418
2.553,51.284000000000006
0.33,36.169
18.063,89.522
0.378,42.852000000000004
0.866,79.68400000000001
0.58,41.982
0.366,38.243
0.33799999999999997,40.918000000000006
1.8079999999999998,40.053
0.339,39.19799999999999
0.517,37.911
0.314,39.89
1.3940000000000001,41.112
1.374,40.150999999999996
0.828,44.373999999999995
1.047,38.775
7.652,1861.409
7.681,56.957
0.383,38.039
0.429,40.674
0.28800000000000003,40.166
0.695,45.162
0.879,41.362
0.47600000000000003,38.778
1.089,38.118
4.944,41.826
0.912,36.153
0.716,36.492
1.147,42.784000000000006
0.435,40.728
0.33799999999999997,39.586000000000006
0.6980000000000001,39.828
2.313,84.173
0.33,40.863
2.028,41.001000000000005
0.33,42.515
0.608,37.648
28.869,67.83699999999999
0.40900000000000003,40.064
8.685,46.095
0.506,40.277
5.946,44.192
0.589,43.971000000000004
0.472,41.156
5.989999999999999,47.785000000000004
0.726,41.599
2.561,41.379
1.125,1828.684
3.266,188.982
0.48500000000000004,225.76
0.446,288.262
0.6809999999999999,39.510999999999996
17.662,89.41399999999999
0.442,43.076
0.43,41.342999999999996
5.8100000000000005,47.916
3.525,48.638
0.544,46.747
0.298,42.908
48.367,88.265
0.416,40.457
3.0300000000000002,41.846000000000004
0.45,40.758
2.355,51.388000000000005
0.486,39.035000000000004
1.053,1635.022
0.312,194.23000000000002
6.196,240.726
0.78,115.23
2.7169999999999996,55.544999999999995
1.199,50.632999999999996
5.674,81.366
0.707,38.719
1.1460000000000001,39.002
1.761,40.919999999999995
2.5730000000000004,45.516
6.641,46.697
4.023,46.329
31.369,72.274
1.7049999999999998,87.461
19.122,74.5
0.379,41.5
0.425,42.492000000000004
